Country,Year,Maize Production (tonnes),Rice  Production ( tonnes),Yams  Production (tonnes),Wheat Production (tonnes),Tomatoes Production (tonnes),Tea  Production ( tonnes ),Sweet potatoes  Production (tonnes),Sunflower seed  Production (tonnes),Sugar cane Production (tonnes),Soybeans  Production (tonnes),Rye  Production (tonnes),Potatoes  Production (tonnes),Oranges  Production (tonnes),"Peas, dry Production ( tonnes)",Palm oil  Production (tonnes),Grapes  Production (tonnes),"Coffee, green Production ( tonnes)",Cocoa beans Production (tonnes),"Meat, chicken  Production (tonnes)",Bananas  Production ( tonnes),Avocados Production (tonnes),Apples Production (tonnes)
Albania,2010,362000.0,0.0,110.6,294900.0,718235.0,200.0,986563.0,2600.0,946889500.0,0.0,460845.66,208000.0,6631.0,3900714.8,51000.0,184900.0,9951.0,354.29,17000.0,300000.0,3726.11,54604.0
Albania,2011,366400.0,0.0,116.37,292800.0,771606.0,290.0,1045104.0,3000.0,968007360.0,0.0,449834.06,230100.0,7100.0,2996373.8,53000.0,195200.0,10192.0,372.2,17100.0,280000.0,3839.54,64000.0
Albania,2012,360000.0,0.0,125.0,300000.0,796963.0,320.0,644854.0,2000.0,967100350.0,700.0,555381.94,233000.0,9120.0,4138441.0,54000.0,196800.0,11740.03,400.0,16000.0,275000.0,4100.0,71300.0
Albania,2013,372000.0,0.0,127.61,294000.0,975075.0,335.0,1199749.0,1500.0,1035749500.0,800.0,466538.0,236700.0,9665.37,4883445.5,55000.0,204000.0,12550.0,410.0,17000.0,275000.0,4051.54,75730.0
Albania,2014,380000.0,0.0,131.98,280000.0,1065609.2,390.0,1928954.0,2000.0,1009968800.0,1000.0,460825.78,240000.0,4120.0,4863802.5,46000.0,203700.0,15009.0,418.19,12775.0,280000.0,4038.59,82060.0
Albania,2015,380000.0,0.0,142.61,275000.0,1163766.0,430.0,1932812.0,2000.0,1019004350.0,1300.0,625055.75,245000.0,8347.01,4369484.5,55000.0,205000.02,15000.0,428.72,12905.0,275000.0,4029.92,91736.02
Albania,2016,379714.0,0.0,134.07,275000.0,1280570.0,440.0,1942904.0,1971.5,1031896450.0,1800.0,798558.5,238345.0,10063.0,6372922.0,57000.0,205001.0,14679.61,438.21,12702.0,270000.0,4027.05,101532.0
Albania,2017,381059.0,0.0,140.2,274877.0,1286286.0,500.0,1696027.0,1117.0,1010328000.0,2200.0,692864.0,249804.0,9130.48,5131883.5,50000.0,202948.0,13542.99,447.67,12912.0,275000.0,4033.27,96337.77
Albania,2018,391104.0,0.0,138.96,240294.0,1309745.1,5000.0,1688122.0,846.0,1003828350.0,3000.0,549977.94,254543.0,10779.0,4524684.0,48000.0,184832.0,13164.33,438.2,15587.27,280000.0,4098.56,108375.0
Albania,2019,388951.0,0.0,137.74,233218.0,1477878.0,5044.0,1680146.0,1013.0,1017244300.0,7064.0,705021.2,260661.0,11556.0,5506519.0,46000.0,189904.0,12931.88,441.36,11633.32,280000.0,4127.25,107713.0
Albania,2020,399125.0,0.0,138.97,233430.0,1635616.2,6133.0,1749832.0,1259.0,1008672900.0,14711.0,1016062.75,254886.0,12436.0,5889419.0,42000.0,199069.0,12630.45,442.41,12233.91,275000.0,4150.6,102167.0
Albania,2021,414270.8,0.0,138.56,225170.9,1641636.0,6231.0,1788342.0,925.5,961894340.0,5936.0,873343.06,258862.0,12724.7,2952169.8,45000.0,212011.0,10304.0,440.66,13250.0,270000.0,4173.95,111247.2
Austria,2000,1851727.8,2372.0,487226.22,34544.0,5400.0,141374.0,0.0,20000.0,1113080.0,322915.0,16555.0,0.0,130670.0,0.0,112000.0,0.0,0.0,67822.0,81503.0,500.0,253977.38,208950.0
Austria,2001,1771081.0,1420.0,478507.84,35600.0,5600.0,155919.0,0.0,18000.0,1150150.0,304897.0,17201.0,0.0,99341.0,0.0,128000.0,0.0,0.0,61798.0,82492.0,500.0,245652.56,257508.0
